店铺名,星级,点评数量,人均,口味,环境,服务
芦月轩羊蝎子(刘家窑店),准五星商户,3447,￥79,8.9,8.0,8.0
牛记皇·鲜牛记精品牛肉火锅(梨园店),五星商户,293,￥118,9.1,9.1,9.1
菁喜老火锅,准五星商户,1460,￥117,8.7,8.9,8.7
八合记潮汕牛肉火锅,五星商户,352,￥114,9.0,8.4,8.8
天颐隆火锅店(石景山店),五星商户,1074,￥101,9.1,8.9,8.9
东来顺饭庄(紫竹桥店),准五星商户,3899,￥109,8.8,9.0,8.5
香草香草云南原生态火锅(清河店),五星商户,210,￥93,9.3,9.3,9.3
玉林串串香(亚运村小营店),准五星商户,192,￥80,8.9,8.7,9.0
首尔798POCHA,准五星商户,353,￥89,8.5,9.0,9.1
康二姐串串香(通州万达店),五星商户,504,￥54,9.1,9.1,9.1
重庆壹圣元火锅(公主坟店),五星商户,345,￥118,9.0,8.8,8.7
四季大盘涮肉园(杨庄.店),五星商户,1026,￥84,9.2,8.5,9.1
路小凤海鲜鸡锅,五星商户,215,￥131,9.0,9.0,9.0
滇草香云南原生态汤火锅(爱琴海购物公园店),准五星商户,2186,￥130,8.9,9.1,8.9
黄门老灶火锅(丽都直营店),准五星商户,2064,￥127,9.0,8.5,8.4
一锅两头牛·筋肉头巴脑一锅香(崇文门店),准五星商户,100,￥70,9.1,8.9,9.0
聚福源清真餐厅(簋街店),五星商户,705,￥76,9.0,8.8,8.9
羯子李(西便门总店),准五星商户,1795,￥96,8.4,7.6,7.7
猪小嫚爱野菜-日式海鲜火锅(望京店),准五星商户,450,￥96,8.9,8.5,9.0
唇辣号重庆老火锅(回龙观西大街店),五星商户,601,￥102,9.1,9.2,9.1
匹夫涮肉城(草桥店),准五星商户,191,￥102,8.8,9.0,8.7
玉林串串香(门头沟店),准五星商户,803,￥82,9.0,9.0,8.8
陈记老北京铜锅涮肉(劲松店),五星商户,50,￥84,9.1,9.1,9.1
要德火锅,五星商户,138,￥78,9.1,9.0,9.2
313羊庄(回龙观店),五星商户,83,￥91,9.2,9.2,9.1
重庆壹圣元火锅(安定门店),准五星商户,2116,￥122,8.8,7.5,8.0
常赢三兄弟(陆港城总店),准五星商户,443,￥113,8.8,8.4,8.0
百年老妈牛油火锅(中粮万科长阳半岛店),五星商户,1560,￥100,8.9,9.1,9.1
骨氣鼓氣羊棒骨火锅(华联公益西桥店),准五星商户,315,￥70,9.0,8.9,9.0
江小渔斑鱼火锅(西红门店),五星商户,454,￥96,9.0,9.1,9.0
唇辣号重庆老火锅(天通苑龙德店),五星商户,159,￥123,9.0,9.1,9.0
唇辣号重庆老火锅(六道口店),五星商户,680,￥100,8.9,9.1,9.1
王家渡火锅店(棕榈泉店),准五星商户,2892,￥158,8.5,8.8,8.1
齐海鱼圣,五星商户,1957,￥137,8.8,8.9,8.8
宽板凳老灶火锅(文慧园店),准五星商户,1342,￥120,8.9,8.7,8.6
钢管厂小郡肝串串香(通州万达店),准五星商户,90,￥79,8.8,8.6,8.3
